embedding_model,fusion_method,repeat,fold,source,layer,inner_fold,C,mean_inner_roc_auc,selected,level,model_name
model_1_all_mpnet_base_v2,late_fusion,1,1,second_layer,,,1.0,0.7523957523957524,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,1,second_layer,,,10.0,0.7079340412673747,False,L4,base
model_1_all_mpnet_base_v2,late_fusion,1,1,second_layer,,,0.01,0.8136601053267721,True,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,1,second_layer,,,0.1,0.7927350427350427,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,1,second_layer,,,1.0,0.7336182336182336,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,1,second_layer,,,10.0,0.67824613657947,False,L4,augmented
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,1.0,0.01,0.7784780578898225,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,1.0,0.1,0.7809290382819795,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,1.0,1.0,0.7835745409274821,True,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,1.0,10.0,0.757703081232493,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,2.0,0.01,0.6928493619670091,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,2.0,0.1,0.6928493619670091,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,2.0,1.0,0.7128462496109554,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,2.0,10.0,0.7212885154061625,True,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,3.0,0.01,0.7609905073140366,True,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,3.0,0.1,0.7609905073140366,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,3.0,1.0,0.7535792094615624,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source,3.0,10.0,0.7388927793339558,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,P,source_outer_full,0.0,10.0,0.7894867478200811,True,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,1.0,0.01,0.8047385620915032,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,1.0,0.1,0.8047385620915032,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,1.0,1.0,0.8071895424836603,True,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,1.0,10.0,0.7968020541549953,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,2.0,0.01,0.7100062247121071,True,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,2.0,0.1,0.7100062247121071,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,2.0,1.0,0.7073607220666044,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,2.0,10.0,0.6939386865857454,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,3.0,0.01,0.8044078742608155,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,3.0,0.1,0.8068588546529724,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,3.0,1.0,0.8093098350451292,True,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source,3.0,10.0,0.7924447556800498,False,,
model_1_all_mpnet_base_v2,late_fusion,1,2,I,source_outer_full,0.0,1.0,0.8099153932487265,True,,
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.01,0.7374384874384875,True,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,2,second_layer,,,0.1,0.7374384874384875,False,L1,base
