model,n_features,MAE,RMSE,R2,pearson_r,spearman_rho
症状覆盖广度 (1维),1,4.07741841534801,5.071442490359382,0.21752175859230627,0.4667441399368276,0.357490221022965
症状证据密度 (1维),1,4.176057250003845,5.1478271382887195,0.19377331245602714,0.44087933050223066,0.2933620211509226
十个症状域计数 (10维),10,3.908407440976657,5.112437832061062,0.20482019878480817,0.4845057663583208,0.4642451093877508
十个症状域是否出现 (10维),10,3.9324573391858917,5.015889701794443,0.23457046558730332,0.4948934194576008,0.4604502303382119
基线 (预测全体均值),0,4.744296766514582,5.733177265982791,0.0,,
