roc_auc,pr_auc,macro_f1,sensitivity,specificity,brier,log_loss,model,description,predictors,n_features,delta_roc_auc,delta_pr_auc,delta_macro_f1,delta_brier,delta_roc_auc_vs_M0,delta_log_loss_vs_M0
0.69579516091144,0.5635413526975971,0.6389114321268192,0.627906976744186,0.6868686868686869,0.2220905666564181,0.6438718062239283,M0,Patient speech only,c2_prob,1,,,,,0.0,0.0
0.7681465821000705,0.6599748957451795,0.7296752519596865,0.6976744186046512,0.7878787878787878,0.18600487081428332,0.5652660846787845,M1,Patient + Domain,c2_prob + domain_count_prob,2,0.07235142118863047,0.09643354304758245,0.0907638198328673,-0.03608569584213478,0.07235142118863047,-0.07860572154514378
0.7488841907446558,0.5850453758422292,0.7397479954180985,0.6744186046511628,0.8181818181818182,0.19203855460851338,0.580235417952692,M2,Patient + Protocol,c2_prob + template_presence_prob,2,-0.019262391355414632,-0.07492951990295038,0.010072743458412026,0.006033683794230055,0.05308902983321584,-0.0636363882712363
0.8132487667371388,0.7008791591059146,0.7010195035460993,0.6744186046511628,0.7575757575757576,0.17193660395558538,0.5120146107491601,M3,Patient + Domain + Protocol,c2_prob + domain_count_prob + template_presence_prob,3,0.06436457599248291,0.11583378326368543,-0.03872849187199923,-0.020101950652927997,0.11745360582569875,-0.13185719547476815
0.8132487667371389,0.7005561422600853,0.7010195035460993,0.6744186046511628,0.7575757575757576,0.17306517120927026,0.5141650601533302,M4,Patient + Domain + Protocol + C5,c2_prob + domain_count_prob + template_presence_prob + c5_prob,4,1.1102230246251565e-16,-0.0003230168458292493,0.0,0.0011285672536848756,0.11745360582569886,-0.12970674607059807
0.8282828282828284,0.7306263854450162,0.7103478692320415,0.6976744186046512,0.7575757575757576,0.16483964395120904,0.4947333147688845,M5,Patient + Domain + Protocol + C3 (sensitivity),c2_prob + domain_count_prob + template_presence_prob + c3_prob,4,0.015034061545689537,0.0300702431849309,0.009328365685942197,-0.008225527258061222,0.1324876673713884,-0.14913849145504376
