experiment,condition,embedding_model,fusion_method,model_level,model_name,n_draws,auc_mean,auc_median,auc_q025,auc_q975,pr_auc_mean,pr_auc_median,pr_auc_q025,pr_auc_q975,brier_mean,brier_median,brier_q025,brier_q975,log_loss_mean,log_loss_median,log_loss_q025,log_loss_q975
pairing,random,model_1_all_mpnet_base_v2,early_concat,L1,augmented,50,0.7268733850129199,0.7264505520319473,0.6729856706600894,0.7730502701432933,0.5771392198108117,0.5690467409362405,0.505918919151258,0.6654416826357135,0.23184294146500117,0.23307841734225102,0.20399875555700014,0.24860554854182482,0.6546559940401151,0.6587413326771083,0.5897849044902113,0.6903575282562259
pairing,random,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,50,0.6589593610523843,0.662673244068593,0.5559989429175476,0.7322879962414846,0.5054330185712544,0.5311905012453155,0.35031864640865257,0.608497905165654,0.2431027600659789,0.2323936587212521,0.22129780236513177,0.3116055950754239,0.8416257218206313,0.6647601211190761,0.645666317586268,2.481097729168501
pairing,random,model_2_bge_large_en_v1_5,early_concat,L1,augmented,50,0.7036833450786938,0.7083626967347897,0.6541930937279775,0.7527953958186517,0.5350067177218204,0.530961390281108,0.474187085171618,0.6115825978413919,0.23267452805089434,0.2335639022752007,0.21168596900973582,0.24739698793282758,0.6564997958564883,0.6584075467069359,0.6117410704300831,0.6879049913257685
pairing,random,model_2_bge_large_en_v1_5,late_fusion,L1,augmented,50,0.682724923655156,0.6880432229269438,0.5952842377260982,0.733080808080808,0.5006881454998205,0.5029877052098564,0.42090011066229044,0.5454504204871935,0.25705489475385673,0.2532093894584202,0.24005929279903862,0.3122347851834485,1.080522002972561,1.1979731099596242,0.6870572175784271,1.4184920358388782
pairing,real,model_1_all_mpnet_base_v2,early_concat,L1,augmented,1,0.8087855297157622,0.8087855297157622,0.8087855297157622,0.8087855297157622,0.6709026076200706,0.6709026076200706,0.6709026076200706,0.6709026076200706,0.245298475913842,0.245298475913842,0.245298475913842,0.245298475913842,0.6837343351314131,0.6837343351314131,0.6837343351314131,0.6837343351314131
pairing,real,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,1,0.6650223161851069,0.6650223161851069,0.6650223161851069,0.6650223161851069,0.4943221189191391,0.4943221189191391,0.4943221189191391,0.4943221189191391,0.24453350322173512,0.24453350322173512,0.24453350322173512,0.24453350322173512,0.8255023442653996,0.8255023442653996,0.8255023442653996,0.8255023442653996
pairing,real,model_2_bge_large_en_v1_5,early_concat,L1,augmented,1,0.7939863753817242,0.7939863753817242,0.7939863753817242,0.7939863753817242,0.6219912776888848,0.6219912776888848,0.6219912776888848,0.6219912776888848,0.2359168490901485,0.2359168490901485,0.2359168490901485,0.2359168490901485,0.6618224073624768,0.6618224073624768,0.6618224073624768,0.6618224073624768
pairing,real,model_2_bge_large_en_v1_5,late_fusion,L1,augmented,1,0.7481794691097017,0.7481794691097017,0.7481794691097017,0.7481794691097017,0.5778761949562785,0.5778761949562785,0.5778761949562785,0.5778761949562785,0.221582476487002,0.221582476487002,0.221582476487002,0.221582476487002,0.6424118338528791,0.6424118338528791,0.6424118338528791,0.6424118338528791
pairing,structure_matched_random,model_1_all_mpnet_base_v2,early_concat,L1,augmented,50,0.7410570824524314,0.7464176650223162,0.702061310782241,0.7674653511862813,0.5865087002921527,0.5923617939650242,0.5412593568003405,0.6384538729170595,0.2392074762841271,0.23974391106421977,0.2351727254229261,0.24903461263068516,0.6701896541156627,0.6721645774278365,0.6601757878256268,0.6912158805444014
pairing,structure_matched_random,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,50,0.7149541930937279,0.7129433873619919,0.6511921540991309,0.7608116044162555,0.5804442997432729,0.5805042656662946,0.5250894727668969,0.6293253287488245,0.2321015471108521,0.23116749024793573,0.22062938333090673,0.24181901303627537,0.6613661488846351,0.6611217808688483,0.6372447575256541,0.6772983206969787
pairing,structure_matched_random,model_2_bge_large_en_v1_5,early_concat,L1,augmented,50,0.725214940098661,0.7270378200610759,0.6991895701198028,0.7535823349776838,0.5782483972408565,0.5786041022664075,0.5303034782141753,0.6301729060533255,0.24381681789283577,0.24582047051415507,0.2327864219080621,0.25000371672207444,0.6800960275488532,0.6847437721987939,0.6560995481126298,0.6931545983124099
pairing,structure_matched_random,model_2_bge_large_en_v1_5,late_fusion,L1,augmented,50,0.7013295748179469,0.7067183462532298,0.6512273901808785,0.7324641766502231,0.5160736477827873,0.5185500303948102,0.4755469762615111,0.549978353114082,0.248479023054029,0.2513486316557433,0.23584230287721109,0.26267961266413026,0.9543283447232912,0.9676923540567867,0.6762408792022288,1.248803257584297
