experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss,domain_variant,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
phq_partition,D-Extra,0,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7582804792107117,0.6391240712809549,0.19471154581974143,0.5941750851113631,D-Extra,,,,,,,,,,,,
phq_partition,D-Extra,0,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7354944796805262,0.5639804482353853,0.21880439372710744,0.6399125313756199,D-Extra,,,,,,,,,,,,
phq_partition,D-Extra,0,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,D-Extra,0.7354944796805262,0.7582804792107117,0.022785999530185563,0.5639804482353853,0.6391240712809549,0.07514362304556965,0.21880439372710744,0.19471154581974143,0.024092847907366016,0.6399125313756199,0.5941750851113631,0.0457374462642568
phq_partition,D-PHQ,0,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7587502936340144,0.6358574364169642,0.18722541905031306,0.5611653192736539,D-PHQ,,,,,,,,,,,,
phq_partition,D-PHQ,0,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7169368099600659,0.5916050138330928,0.19705776306858835,0.579306915001553,D-PHQ,,,,,,,,,,,,
phq_partition,D-PHQ,0,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,D-PHQ,0.7169368099600659,0.7587502936340144,0.04181348367394844,0.5916050138330928,0.6358574364169642,0.04425242258387141,0.19705776306858835,0.18722541905031306,0.00983234401827529,0.579306915001553,0.5611653192736539,0.018141595727899085
phq_partition,D-Extra,0,model_1_all_mpnet_base_v2,late_fusion,L3,augmented,142.0,0.7188160676532769,0.5240539654383256,0.22874851334773122,0.7528183208728753,D-Extra,,,,,,,,,,,,
phq_partition,D-Extra,0,model_1_all_mpnet_base_v2,late_fusion,L3,base,142.0,0.7714352830631901,0.5760263079426795,0.218172502214433,0.635667462461366,D-Extra,,,,,,,,,,,,
phq_partition,D-Extra,0,model_1_all_mpnet_base_v2,late_fusion,L3,,,,,,,D-Extra,0.7714352830631901,0.7188160676532769,-0.05261921540991321,0.5760263079426795,0.5240539654383256,-0.0519723425043539,0.218172502214433,0.22874851334773122,-0.01057601113329823,0.635667462461366,0.7528183208728753,-0.1171508584115093
phq_partition,D-PHQ,0,model_1_all_mpnet_base_v2,late_fusion,L3,augmented,142.0,0.7096546863988724,0.5463059275954025,0.22237877911611711,1.1860113142277342,D-PHQ,,,,,,,,,,,,
phq_partition,D-PHQ,0,model_1_all_mpnet_base_v2,late_fusion,L3,base,142.0,0.7444209537232793,0.6220682859345497,0.20466024441346825,0.5946594066337166,D-PHQ,,,,,,,,,,,,
phq_partition,D-PHQ,0,model_1_all_mpnet_base_v2,late_fusion,L3,,,,,,,D-PHQ,0.7444209537232793,0.7087150575522668,-0.0357058961710125,0.6220682859345497,0.5343128667323777,-0.087755419202172,0.20466024441346825,0.22237877895941627,-0.017718534545948017,0.5946594066337166,1.1546512020615136,-0.559991795427797
phq_partition,D-Extra,0,model_2_bge_large_en_v1_5,early_concat,L3,augmented,142.0,0.7721400046981443,0.5980099127779991,0.21320532664998268,0.6207301576701989,D-Extra,,,,,,,,,,,,
phq_partition,D-Extra,0,model_2_bge_large_en_v1_5,early_concat,L3,base,142.0,0.7951609114399811,0.6254460593905127,0.22174363830440713,0.6360265299993851,D-Extra,,,,,,,,,,,,
phq_partition,D-Extra,0,model_2_bge_large_en_v1_5,early_concat,L3,,,,,,,D-Extra,0.7951609114399811,0.7721400046981443,-0.023020906741836877,0.6254460593905127,0.5980099127779991,-0.02743614661251359,0.22174363830440713,0.21320532664998268,0.008538311654424452,0.6360265299993851,0.6207301576701989,0.015296372329186236
phq_partition,D-PHQ,0,model_2_bge_large_en_v1_5,early_concat,L3,augmented,142.0,0.7796570354709889,0.6394973943736063,0.1795387769606327,0.5469808415426998,D-PHQ,,,,,,,,,,,,
phq_partition,D-PHQ,0,model_2_bge_large_en_v1_5,early_concat,L3,base,142.0,0.7538172421893352,0.6142776668862026,0.1885301708009834,0.5687735540501936,D-PHQ,,,,,,,,,,,,
phq_partition,D-PHQ,0,model_2_bge_large_en_v1_5,early_concat,L3,,,,,,,D-PHQ,0.7538172421893352,0.7796570354709889,0.025839793281653645,0.6142776668862026,0.6394973943736063,0.025219727487403754,0.1885301708009834,0.1795387769606327,0.008991393840350692,0.5687735540501936,0.5469808415426998,0.021792712507493817
phq_partition,D-Extra,0,model_2_bge_large_en_v1_5,late_fusion,L3,augmented,142.0,0.7683814893117218,0.5961690706172782,0.20944122856389294,0.6181528799908728,D-Extra,,,,,,,,,,,,
phq_partition,D-Extra,0,model_2_bge_large_en_v1_5,late_fusion,L3,base,142.0,0.7394879022785998,0.5558874867600787,0.22129949112813235,0.6457192174148092,D-Extra,,,,,,,,,,,,
phq_partition,D-Extra,0,model_2_bge_large_en_v1_5,late_fusion,L3,,,,,,,D-Extra,0.7394879022785998,0.7683814893117218,0.028893587033121948,0.5558874867600787,0.5961690706172782,0.04028158385719949,0.22129949112813235,0.20944122856389294,0.011858262564239413,0.6457192174148092,0.6181528799908728,0.027566337423936438
phq_partition,D-PHQ,0,model_2_bge_large_en_v1_5,late_fusion,L3,augmented,142.0,0.794456189805027,0.6442863100938105,0.19290184930217608,0.7058859816732407,D-PHQ,,,,,,,,,,,,
phq_partition,D-PHQ,0,model_2_bge_large_en_v1_5,late_fusion,L3,base,142.0,0.7625088090204369,0.6237854938012674,0.2096815497566319,0.6134628194086199,D-PHQ,,,,,,,,,,,,
phq_partition,D-PHQ,0,model_2_bge_large_en_v1_5,late_fusion,L3,,,,,,,D-PHQ,0.7625088090204369,0.794456189805027,0.03194738078459003,0.6237854938012674,0.6442863100938105,0.02050081629254319,0.2096815497566319,0.19290184930217608,0.016779700454455815,0.6134628194086199,0.7058859817938871,-0.09242316238526715
