experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss,domain_variant,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
fake_d,fake_d,9,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6511627906976742,0.689922480620155,0.0387596899224808,0.4880648263009751,0.5271565676915133,0.039091741390538226,0.22556098796548607,0.21581318130483326,0.009747806660652808,0.6676079817967099,0.6586477313780124,0.008960250418697524
fake_d,fake_d,10,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7432464176650223,0.601042242420829,0.1856954233558311,0.6066949358787807,Fake-D,,,,,,,,,,,,
fake_d,fake_d,10,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7209302325581394,0.5704125443106093,0.1965258392502414,0.6247882508796291,Fake-D,,,,,,,,,,,,
fake_d,fake_d,10,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7209302325581394,0.7432464176650223,0.022316185106882935,0.5704125443106093,0.601042242420829,0.03062969811021976,0.1965258392502414,0.1856954233558311,0.010830415894410278,0.6247882508796291,0.6066949358787807,0.01809331500084843
fake_d,fake_d,11,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7390180878552972,0.5992374636872062,0.185302081972371,0.5791789073496435,Fake-D,,,,,,,,,,,,
fake_d,fake_d,11,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7211651397697909,0.580712439107059,0.19459315389886123,0.5872414645227211,Fake-D,,,,,,,,,,,,
fake_d,fake_d,11,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7211651397697909,0.7390180878552972,0.017852948085506304,0.580712439107059,0.5992374636872062,0.018525024580147154,0.19459315389886123,0.185302081972371,0.00929107192649023,0.5872414645227211,0.5791789073496435,0.008062557173077578
fake_d,fake_d,12,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7721400046981443,0.646610189859335,0.17731493504974458,0.5389466861334476,Fake-D,,,,,,,,,,,,
fake_d,fake_d,12,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7458303969931876,0.5727164568689042,0.18932310873938313,0.5682340250739477,Fake-D,,,,,,,,,,,,
fake_d,fake_d,12,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7458303969931876,0.7721400046981443,0.026309607704956606,0.5727164568689042,0.646610189859335,0.0738937329904309,0.18932310873938313,0.17731493504974458,0.012008173689638552,0.5682340250739477,0.5389466861334476,0.029287338940500063
fake_d,fake_d,13,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.732440685929058,0.5973768472077624,0.19620471016530125,0.6056108382782052,Fake-D,,,,,,,,,,,,
fake_d,fake_d,13,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6744186046511627,0.5250416684875897,0.21066953015102988,0.6243296075584382,Fake-D,,,,,,,,,,,,
