embedding_model,repeat,condition,draw_id,domain_variant,model_level,fusion_method,n,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
model_1_all_mpnet_base_v2,1,fake_d,25,Fake-D,L3,early_concat,142,0.7357293868921776,0.7535823349776838,0.017852948085506193,0.5712920702728115,0.6144163865835343,0.04312431631072278,0.19344501118194646,0.1845385365308735,0.008906474651072971,0.5891175277540853,0.5715746667945566,0.017542860959528728
model_1_all_mpnet_base_v2,1,fake_d,26,Fake-D,L3,early_concat,142,0.7066008926474042,0.7037820061075875,-0.0028188865398167673,0.46704330209201506,0.4928957140794305,0.025852411987415447,0.213248277963052,0.21469949436539942,-0.0014512164023474106,0.655854213813152,0.65900048804541,-0.003146274232257995
model_1_all_mpnet_base_v2,1,fake_d,27,Fake-D,L3,early_concat,142,0.7275076344843787,0.7256283767911675,-0.0018792576932111782,0.5458258108417056,0.5898348073968196,0.04400899655511403,0.2040957886241091,0.1991226252912483,0.004973163332860797,0.5994777295458167,0.5927148243413921,0.006762905204424574
model_1_all_mpnet_base_v2,1,fake_d,28,Fake-D,L3,early_concat,142,0.6572703782006107,0.6831101714822645,0.025839793281653756,0.48704305039622403,0.543845173708211,0.05680212331198692,0.21208268501468913,0.20255498837211605,0.00952769664257308,0.6300290343094206,0.6267687680982442,0.003260266211176366
model_1_all_mpnet_base_v2,1,fake_d,29,Fake-D,L3,early_concat,142,0.7359642941038289,0.7629786234437397,0.02701432933991077,0.6113425353707785,0.665792958168178,0.05445042279739942,0.1905951938441118,0.17401175049588302,0.016583443348228782,0.6049113066721529,0.5793335648474047,0.025577741824748146
model_1_all_mpnet_base_v2,1,fake_d,30,Fake-D,L3,early_concat,142,0.6873385012919897,0.7110641296687809,0.023725628376791152,0.5023181379560985,0.546822160588137,0.044504022632038565,0.20955546764488758,0.19947672148820128,0.010078746156686302,0.6256753620365908,0.6166764695386515,0.008998892497939281
model_1_all_mpnet_base_v2,1,fake_d,31,Fake-D,L3,early_concat,142,0.7509983556495184,0.7608644585388771,0.00986610288935863,0.5319693906959958,0.5654278611409189,0.033458470444923116,0.1924502541284828,0.1896025695171613,0.0028476846113214827,0.5942233871380874,0.5932316212733139,0.0009917658647735639
model_1_all_mpnet_base_v2,1,fake_d,32,Fake-D,L3,early_concat,142,0.7451256753582335,0.7625088090204369,0.017383133662203454,0.5633050924149022,0.6074936330910646,0.0441885406761624,0.19431340373077172,0.18596765820421793,0.008345745526553788,0.5871670947384251,0.5799484660525568,0.007218628685868311
model_1_all_mpnet_base_v2,1,fake_d,33,Fake-D,L3,early_concat,142,0.6842847075405216,0.703547098895936,0.01926239135541441,0.5408934202932488,0.5601887585867835,0.019295338293534692,0.20917846470685683,0.20199272257515707,0.007185742131699757,0.6633253043957792,0.6637117502925226,-0.0003864458967434148
model_1_all_mpnet_base_v2,1,fake_d,34,Fake-D,L3,early_concat,142,0.6518675123326286,0.6720695325346489,0.02020202020202022,0.45091790262699627,0.4852192570844429,0.03430135445744664,0.23120951655004074,0.22292265784788898,0.008286858702151761,0.6782079198963087,0.6730449742577733,0.005162945638535366
