record_type,representation,repeat,outer_fold,draw,partition,assignment_type,recipient_id,donor_id,self_match,one_to_one,standardized_euclidean_distance,abs_standardized_pair_difference__interviewer_word_count,abs_standardized_pair_difference__interviewer_turn_count,abs_standardized_pair_difference__clinical_question_count,abs_standardized_pair_difference__clinical_prompt_coverage_count,abs_standardized_pair_difference__non_explicit_interviewer_turn_count,abs_standardized_pair_difference__d_p_domain_breadth,abs_standardized_pair_difference__d_p_total_evidence_count
pairwise,tfidf,1,1,0,outer_test,optimal_matched,319,484,False,True,1.8768253247964466,0.966533996629193,0.1808102606707299,0.5019100197538329,0.546231641750275,0.12890127525484452,1.175299293478647,0.7793371160167102
pairwise,tfidf,1,1,0,outer_test,optimal_matched,331,364,False,True,2.6054420542122365,0.8469627805513548,0.9040513033536494,0.0,0.0,0.9667595644113339,0.0,2.078232309377894
pairwise,tfidf,1,1,0,outer_test,optimal_matched,345,346,False,True,3.509050109261856,0.36867791624000146,1.024591477134136,1.0038200395076657,1.09246328350055,1.2245621149210228,1.7629489402179703,2.078232309377894
pairwise,tfidf,1,1,0,outer_test,optimal_matched,346,345,False,True,3.509050109261856,0.36867791624000146,1.024591477134136,1.0038200395076657,1.09246328350055,1.2245621149210228,1.7629489402179703,2.078232309377894
pairwise,tfidf,1,1,0,outer_test,optimal_matched,357,451,False,True,6.245210953489757,3.198530030082175,2.3505333887194886,2.5095500987691644,2.731158208751375,2.191321679332357,1.175299293478647,1.818453270705657
pairwise,tfidf,1,1,0,outer_test,optimal_matched,358,362,False,True,1.59903320888568,0.11957121607783831,0.06027008689024329,0.5019100197538329,0.546231641750275,0.0,1.175299293478647,0.7793371160167102
pairwise,tfidf,1,1,0,outer_test,optimal_matched,362,358,False,True,1.59903320888568,0.11957121607783831,0.06027008689024329,0.5019100197538329,0.546231641750275,0.0,1.175299293478647,0.7793371160167102
pairwise,tfidf,1,1,0,outer_test,optimal_matched,363,369,False,True,0.6669754929799326,0.02989280401945958,0.12054017378048658,0.0,0.0,0.12890127525484452,0.5876496467393235,0.25977903867223673
pairwise,tfidf,1,1,0,outer_test,optimal_matched,364,331,False,True,2.6054420542122365,0.8469627805513548,0.9040513033536494,0.0,0.0,0.9667595644113339,0.0,2.078232309377894
pairwise,tfidf,1,1,0,outer_test,optimal_matched,369,363,False,True,0.6669754929799326,0.02989280401945958,0.12054017378048658,0.0,0.0,0.12890127525484452,0.5876496467393235,0.25977903867223673
