representation,repeat,prediction_scope,metric,estimate,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,n_participants,interpretation_scope
bge,9,outer_test,r2,0.11579791491231317,0.11579791491231317,0.03301784085903675,0.3855160972028637,0.502110996332478,0.3846888562399389,0.25211545263799373,0.2851332934970305,True,142,label_only_common_outcome_alignment_benchmark
bge,9,outer_test,delta_mse,0.03301784085903675,0.11579791491231317,0.03301784085903675,0.3855160972028637,0.502110996332478,0.3846888562399389,0.25211545263799373,0.2851332934970305,True,142,label_only_common_outcome_alignment_benchmark
bge,9,outer_test,mae,0.3855160972028637,0.11579791491231317,0.03301784085903675,0.3855160972028637,0.502110996332478,0.3846888562399389,0.25211545263799373,0.2851332934970305,True,142,label_only_common_outcome_alignment_benchmark
bge,9,outer_test,rmse,0.502110996332478,0.11579791491231317,0.03301784085903675,0.3855160972028637,0.502110996332478,0.3846888562399389,0.25211545263799373,0.2851332934970305,True,142,label_only_common_outcome_alignment_benchmark
bge,9,outer_test,spearman_rho,0.3846888562399389,0.11579791491231317,0.03301784085903675,0.3855160972028637,0.502110996332478,0.3846888562399389,0.25211545263799373,0.2851332934970305,True,142,label_only_common_outcome_alignment_benchmark
bge,10,outer_test,r2,0.1144813827195642,0.1144813827195642,0.0396341164639602,0.4644350072678259,0.5536891403084971,0.3716147424621968,0.30657166409556263,0.34620578055952284,True,142,label_only_common_outcome_alignment_benchmark
bge,10,outer_test,delta_mse,0.0396341164639602,0.1144813827195642,0.0396341164639602,0.4644350072678259,0.5536891403084971,0.3716147424621968,0.30657166409556263,0.34620578055952284,True,142,label_only_common_outcome_alignment_benchmark
bge,10,outer_test,mae,0.4644350072678259,0.1144813827195642,0.0396341164639602,0.4644350072678259,0.5536891403084971,0.3716147424621968,0.30657166409556263,0.34620578055952284,True,142,label_only_common_outcome_alignment_benchmark
bge,10,outer_test,rmse,0.5536891403084971,0.1144813827195642,0.0396341164639602,0.4644350072678259,0.5536891403084971,0.3716147424621968,0.30657166409556263,0.34620578055952284,True,142,label_only_common_outcome_alignment_benchmark
bge,10,outer_test,spearman_rho,0.3716147424621968,0.1144813827195642,0.0396341164639602,0.4644350072678259,0.5536891403084971,0.3716147424621968,0.30657166409556263,0.34620578055952284,True,142,label_only_common_outcome_alignment_benchmark
mpnet,1,outer_test,r2,0.06723389789162104,0.06723389789162104,0.023218535676717944,0.34484358252248554,0.5675572106512083,0.4319165325392879,0.32212118736218004,0.345339723038898,True,142,label_only_common_outcome_alignment_benchmark
mpnet,1,outer_test,delta_mse,0.023218535676717944,0.06723389789162104,0.023218535676717944,0.34484358252248554,0.5675572106512083,0.4319165325392879,0.32212118736218004,0.345339723038898,True,142,label_only_common_outcome_alignment_benchmark
mpnet,1,outer_test,mae,0.34484358252248554,0.06723389789162104,0.023218535676717944,0.34484358252248554,0.5675572106512083,0.4319165325392879,0.32212118736218004,0.345339723038898,True,142,label_only_common_outcome_alignment_benchmark
mpnet,1,outer_test,rmse,0.5675572106512083,0.06723389789162104,0.023218535676717944,0.34484358252248554,0.5675572106512083,0.4319165325392879,0.32212118736218004,0.345339723038898,True,142,label_only_common_outcome_alignment_benchmark
mpnet,1,outer_test,spearman_rho,0.4319165325392879,0.06723389789162104,0.023218535676717944,0.34484358252248554,0.5675572106512083,0.4319165325392879,0.32212118736218004,0.345339723038898,True,142,label_only_common_outcome_alignment_benchmark
mpnet,2,outer_test,r2,0.0035611591191033742,0.0035611591191033742,0.0012336913728617227,0.3675160953459423,0.5875338570838529,0.04963645456842758,0.3451960332198293,0.346429724592691,True,142,label_only_common_outcome_alignment_benchmark
mpnet,2,outer_test,delta_mse,0.0012336913728617227,0.0035611591191033742,0.0012336913728617227,0.3675160953459423,0.5875338570838529,0.04963645456842758,0.3451960332198293,0.346429724592691,True,142,label_only_common_outcome_alignment_benchmark
mpnet,2,outer_test,mae,0.3675160953459423,0.0035611591191033742,0.0012336913728617227,0.3675160953459423,0.5875338570838529,0.04963645456842758,0.3451960332198293,0.346429724592691,True,142,label_only_common_outcome_alignment_benchmark
