representation,repeat,metric,block,estimate,interpretation_scope
mpnet,5,full_explanation_r2,,0.15783607599488736,repeat_stability_not_independent_samples
mpnet,5,block_shapley_delta_r2,P,0.007298103298484034,statistical_explanation_not_causal_contribution
mpnet,5,block_shapley_delta_r2,Q,0.021877121526580556,statistical_explanation_not_causal_contribution
mpnet,5,block_shapley_delta_r2,R,0.10032535557402221,statistical_explanation_not_causal_contribution
mpnet,5,block_shapley_delta_r2,D,0.028335495595800564,statistical_explanation_not_causal_contribution
mpnet,6,full_explanation_r2,,-0.027806733854532917,repeat_stability_not_independent_samples
mpnet,6,block_shapley_delta_r2,P,-0.0005729001288763876,statistical_explanation_not_causal_contribution
mpnet,6,block_shapley_delta_r2,Q,-2.067507853602731e-05,statistical_explanation_not_causal_contribution
mpnet,6,block_shapley_delta_r2,R,-0.026611395624019568,statistical_explanation_not_causal_contribution
mpnet,6,block_shapley_delta_r2,D,-0.0006017630231009338,statistical_explanation_not_causal_contribution
mpnet,7,full_explanation_r2,,-0.1662640887089697,repeat_stability_not_independent_samples
mpnet,7,block_shapley_delta_r2,P,-0.02783448435775071,statistical_explanation_not_causal_contribution
mpnet,7,block_shapley_delta_r2,Q,-0.0038903693678678706,statistical_explanation_not_causal_contribution
mpnet,7,block_shapley_delta_r2,R,-0.13848749979700534,statistical_explanation_not_causal_contribution
mpnet,7,block_shapley_delta_r2,D,0.003948264813654216,statistical_explanation_not_causal_contribution
mpnet,8,full_explanation_r2,,-1.1711386934886878,repeat_stability_not_independent_samples
mpnet,8,block_shapley_delta_r2,P,-6.653239702739647,statistical_explanation_not_causal_contribution
mpnet,8,block_shapley_delta_r2,Q,0.9828739732942307,statistical_explanation_not_causal_contribution
mpnet,8,block_shapley_delta_r2,R,4.234164723027662,statistical_explanation_not_causal_contribution
mpnet,8,block_shapley_delta_r2,D,0.2650623129290674,statistical_explanation_not_causal_contribution
mpnet,9,full_explanation_r2,,0.18917373792213077,repeat_stability_not_independent_samples
mpnet,9,block_shapley_delta_r2,P,0.07719571331470843,statistical_explanation_not_causal_contribution
mpnet,9,block_shapley_delta_r2,Q,0.05722893578795111,statistical_explanation_not_causal_contribution
mpnet,9,block_shapley_delta_r2,R,0.08229967933413923,statistical_explanation_not_causal_contribution
mpnet,9,block_shapley_delta_r2,D,-0.027550590514668,statistical_explanation_not_causal_contribution
mpnet,10,full_explanation_r2,,-1.026166128072994,repeat_stability_not_independent_samples
mpnet,10,block_shapley_delta_r2,P,-12.33062474259062,statistical_explanation_not_causal_contribution
mpnet,10,block_shapley_delta_r2,Q,1.4723242799298415,statistical_explanation_not_causal_contribution
mpnet,10,block_shapley_delta_r2,R,7.673553452963741,statistical_explanation_not_causal_contribution
mpnet,10,block_shapley_delta_r2,D,2.158580881624042,statistical_explanation_not_causal_contribution
tfidf,1,full_explanation_r2,,0.7797730679471362,repeat_stability_not_independent_samples
tfidf,1,block_shapley_delta_r2,P,0.0960333590048713,statistical_explanation_not_causal_contribution
tfidf,1,block_shapley_delta_r2,Q,0.09239845470053167,statistical_explanation_not_causal_contribution
tfidf,1,block_shapley_delta_r2,R,0.4909714934765865,statistical_explanation_not_causal_contribution
tfidf,1,block_shapley_delta_r2,D,0.10036976076514685,statistical_explanation_not_causal_contribution
tfidf,2,full_explanation_r2,,0.785658688143336,repeat_stability_not_independent_samples
tfidf,2,block_shapley_delta_r2,P,0.10956626159849105,statistical_explanation_not_causal_contribution
tfidf,2,block_shapley_delta_r2,Q,0.09256447769795269,statistical_explanation_not_causal_contribution
tfidf,2,block_shapley_delta_r2,R,0.504894209417149,statistical_explanation_not_causal_contribution
tfidf,2,block_shapley_delta_r2,D,0.07863373942974324,statistical_explanation_not_causal_contribution
tfidf,3,full_explanation_r2,,0.7761637728562474,repeat_stability_not_independent_samples
tfidf,3,block_shapley_delta_r2,P,0.09183186549387552,statistical_explanation_not_causal_contribution
tfidf,3,block_shapley_delta_r2,Q,0.1003059108852666,statistical_explanation_not_causal_contribution
tfidf,3,block_shapley_delta_r2,R,0.48467734171212884,statistical_explanation_not_causal_contribution
tfidf,3,block_shapley_delta_r2,D,0.09934865476497641,statistical_explanation_not_causal_contribution
tfidf,4,full_explanation_r2,,0.795437981469595,repeat_stability_not_independent_samples
tfidf,4,block_shapley_delta_r2,P,0.0900165421568631,statistical_explanation_not_causal_contribution
tfidf,4,block_shapley_delta_r2,Q,0.11661078634825907,statistical_explanation_not_causal_contribution
tfidf,4,block_shapley_delta_r2,R,0.5061096865230462,statistical_explanation_not_causal_contribution
tfidf,4,block_shapley_delta_r2,D,0.08270096644142665,statistical_explanation_not_causal_contribution
tfidf,5,full_explanation_r2,,0.7809653350898903,repeat_stability_not_independent_samples
tfidf,5,block_shapley_delta_r2,P,0.08740746501338596,statistical_explanation_not_causal_contribution
tfidf,5,block_shapley_delta_r2,Q,0.10207711740182517,statistical_explanation_not_causal_contribution
tfidf,5,block_shapley_delta_r2,R,0.5068425079437664,statistical_explanation_not_causal_contribution
tfidf,5,block_shapley_delta_r2,D,0.08463824473091282,statistical_explanation_not_causal_contribution
tfidf,6,full_explanation_r2,,0.7734720570077491,repeat_stability_not_independent_samples
tfidf,6,block_shapley_delta_r2,P,0.0797956159217572,statistical_explanation_not_causal_contribution
tfidf,6,block_shapley_delta_r2,Q,0.1304925443064481,statistical_explanation_not_causal_contribution
tfidf,6,block_shapley_delta_r2,R,0.4982501918112044,statistical_explanation_not_causal_contribution
tfidf,6,block_shapley_delta_r2,D,0.0649337049683394,statistical_explanation_not_causal_contribution
tfidf,7,full_explanation_r2,,0.7941237104241636,repeat_stability_not_independent_samples
tfidf,7,block_shapley_delta_r2,P,0.07137878653765481,statistical_explanation_not_causal_contribution
tfidf,7,block_shapley_delta_r2,Q,0.08315782130838749,statistical_explanation_not_causal_contribution
tfidf,7,block_shapley_delta_r2,R,0.5284901774188716,statistical_explanation_not_causal_contribution
tfidf,7,block_shapley_delta_r2,D,0.11109692515924978,statistical_explanation_not_causal_contribution
tfidf,8,full_explanation_r2,,0.7850254844740023,repeat_stability_not_independent_samples
tfidf,8,block_shapley_delta_r2,P,0.09996583316886502,statistical_explanation_not_causal_contribution
tfidf,8,block_shapley_delta_r2,Q,0.09699471616355594,statistical_explanation_not_causal_contribution
tfidf,8,block_shapley_delta_r2,R,0.4941748105694079,statistical_explanation_not_causal_contribution
tfidf,8,block_shapley_delta_r2,D,0.09389012457217355,statistical_explanation_not_causal_contribution
tfidf,9,full_explanation_r2,,0.7989636695124848,repeat_stability_not_independent_samples
tfidf,9,block_shapley_delta_r2,P,0.09366598834644481,statistical_explanation_not_causal_contribution
tfidf,9,block_shapley_delta_r2,Q,0.11204408738184851,statistical_explanation_not_causal_contribution
tfidf,9,block_shapley_delta_r2,R,0.496706347446594,statistical_explanation_not_causal_contribution
tfidf,9,block_shapley_delta_r2,D,0.09654724633759744,statistical_explanation_not_causal_contribution
tfidf,10,full_explanation_r2,,0.7867843254084658,repeat_stability_not_independent_samples
tfidf,10,block_shapley_delta_r2,P,0.10328065855669666,statistical_explanation_not_causal_contribution
tfidf,10,block_shapley_delta_r2,Q,0.11598016654356715,statistical_explanation_not_causal_contribution
tfidf,10,block_shapley_delta_r2,R,0.5040020415367338,statistical_explanation_not_causal_contribution
tfidf,10,block_shapley_delta_r2,D,0.06352145877146816,statistical_explanation_not_causal_contribution
bge,1,residual_delta_auc,,0.0138595254874323,repeat_stability_not_independent_samples
bge,2,residual_delta_auc,,0.03500117453605822,repeat_stability_not_independent_samples
bge,3,residual_delta_auc,,-0.02419544280009389,repeat_stability_not_independent_samples
bge,4,residual_delta_auc,,-0.05073995771670192,repeat_stability_not_independent_samples
bge,5,residual_delta_auc,,0.009866102889358741,repeat_stability_not_independent_samples
bge,6,residual_delta_auc,,0.01620859760394644,repeat_stability_not_independent_samples
bge,7,residual_delta_auc,,-0.028188865398167784,repeat_stability_not_independent_samples
bge,8,residual_delta_auc,,-0.07963354474982387,repeat_stability_not_independent_samples
bge,9,residual_delta_auc,,0.0014094432699084392,repeat_stability_not_independent_samples
bge,10,residual_delta_auc,,-0.008221752407798988,repeat_stability_not_independent_samples
mpnet,1,residual_delta_auc,,-0.02161146347192866,repeat_stability_not_independent_samples
mpnet,2,residual_delta_auc,,-0.06835799859055669,repeat_stability_not_independent_samples
mpnet,3,residual_delta_auc,,-0.036175710594315236,repeat_stability_not_independent_samples
mpnet,4,residual_delta_auc,,-0.047451256753582305,repeat_stability_not_independent_samples
mpnet,5,residual_delta_auc,,0.0030537937514681923,repeat_stability_not_independent_samples
mpnet,6,residual_delta_auc,,-0.02748414376321351,repeat_stability_not_independent_samples
mpnet,7,residual_delta_auc,,-0.07716701902748413,repeat_stability_not_independent_samples
mpnet,8,residual_delta_auc,,0.0021141649048626032,repeat_stability_not_independent_samples
mpnet,9,residual_delta_auc,,-0.0011745360582570141,repeat_stability_not_independent_samples
mpnet,10,residual_delta_auc,,-0.005637773079633535,repeat_stability_not_independent_samples
tfidf,1,residual_delta_auc,,-0.024195442800094003,repeat_stability_not_independent_samples
tfidf,2,residual_delta_auc,,0.016913319238900604,repeat_stability_not_independent_samples
tfidf,3,residual_delta_auc,,-0.02748414376321351,repeat_stability_not_independent_samples
tfidf,4,residual_delta_auc,,0.003993422598073781,repeat_stability_not_independent_samples
