representation,repeat,source,n_participants,n_positive,n_negative,roc_auc,pr_auc,brier,log_loss,sensitivity_at_0_50,specificity_at_0_50,roc_auc_ci_low,pr_auc_ci_low,brier_ci_low,log_loss_ci_low,sensitivity_at_0_50_ci_low,specificity_at_0_50_ci_low,roc_auc_ci_high,pr_auc_ci_high,brier_ci_high,log_loss_ci_high,sensitivity_at_0_50_ci_high,specificity_at_0_50_ci_high,n_bootstrap,bootstrap_scope,interpretation_scope
bge,1,P,142,43,99,0.7298567066008925,0.5729943977327739,0.2227546424165276,0.6365311680155744,0.7209302325581395,0.6161616161616161,0.6363577636833451,0.46216787341043025,0.20770656965533058,0.6029117868271239,0.5813953488372093,0.5252525252525253,0.817952783650458,0.6987878345575878,0.23815339695105164,0.6711556595386337,0.8604651162790697,0.7070707070707071,5000,repeat_1_participant_stratified_bootstrap,descriptive_source_model_performance_outer_test_only
bge,1,I,142,43,99,0.7697909325816302,0.6469344923703934,0.19474406525896967,0.5772256909534736,0.5813953488372093,0.7575757575757576,0.6805261921540992,0.5345532828390583,0.17691966785658128,0.539295833297132,0.4418604651162791,0.6767676767676768,0.8553030303030302,0.7674355661098333,0.2130299683161109,0.6160312891770543,0.7209302325581395,0.8383838383838383,5000,repeat_1_participant_stratified_bootstrap,descriptive_source_model_performance_outer_test_only
bge,2,P,142,43,99,0.6964998825463943,0.4968615530455441,0.23471663909486076,0.662749689636189,0.627906976744186,0.7070707070707071,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,2,I,142,43,99,0.7359642941038289,0.6021908937162703,0.20735218859043109,0.6041056368677151,0.6744186046511628,0.6464646464646465,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,3,P,142,43,99,0.7054263565891472,0.5319760228832654,0.23089200918686809,0.6535779134244991,0.6744186046511628,0.6666666666666666,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,3,I,142,43,99,0.7333803147756636,0.6275163547017374,0.21341244407195734,0.6164570166333421,0.6744186046511628,0.6363636363636364,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,4,P,142,43,99,0.7054263565891473,0.5472135465344943,0.23704431821144473,0.666235625627106,0.6976744186046512,0.5959595959595959,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,4,I,142,43,99,0.7190509748649283,0.5498813232666783,0.2265138777944265,0.644077356102625,0.7906976744186046,0.4444444444444444,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,5,P,142,43,99,0.6922715527366691,0.49813083451610735,0.23656647973809497,0.6655734265644301,0.6976744186046512,0.6060606060606061,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,5,I,142,43,99,0.7178764388066714,0.5646071302460935,0.21381847411782776,0.617243241366592,0.6976744186046512,0.6161616161616161,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,6,P,142,43,99,0.7378435517970401,0.594758097956334,0.23910515648111977,0.671286071525183,0.7441860465116279,0.6565656565656566,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,6,I,142,43,99,0.7239840263096077,0.5541065897925634,0.2232335672111675,0.6369455815195272,0.6744186046511628,0.5858585858585859,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,7,P,142,43,99,0.7305614282358469,0.5703776285842862,0.22147455015751663,0.6320461869348106,0.7674418604651163,0.6363636363636364,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,7,I,142,43,99,0.7709654686398872,0.6767151632127552,0.2032128444720173,0.5954304376388196,0.7209302325581395,0.7373737373737373,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,8,P,142,43,99,0.6737138830162086,0.5040220791481191,0.23569538922594788,0.6624980975297328,0.6744186046511628,0.5858585858585859,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,8,I,142,43,99,0.7634484378670425,0.6337419083234904,0.1959376954140961,0.5798592001273712,0.627906976744186,0.8080808080808081,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,9,P,142,43,99,0.6878083157152924,0.5304507737204264,0.20989575754833256,0.6085767711746469,0.5581395348837209,0.7474747474747475,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,9,I,142,43,99,0.7484143763213531,0.6415078228937177,0.2055028432592454,0.5999582760849488,0.6976744186046512,0.6565656565656566,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
bge,10,P,142,43,99,0.704721634954193,0.5360938879673379,0.24927007735072934,0.691687248536512,0.7906976744186046,0.47474747474747475,,,,,,,,,,,,,0,not_run_repeat_gt_1,descriptive_source_model_performance_outer_test_only
