record_type,representation,repeat,outer_fold,partition,draw,assignment_type,n_pairs,no_self,one_to_one,mean_distance,median_distance,q95_distance,max_distance,total_distance,total_cost,max_abs_smd,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,matching_adequate
random_reference,tfidf,1,1,outer_test,1,random_mismatch,29,True,True,3.6928021265022055,2.6054420542122365,9.74881273191902,10.571149194436725,107.09126166856396,595.0575245610979,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,1,outer_test,2,random_mismatch,29,True,True,4.145597643115452,3.306097207105933,8.927872904696885,11.260315609812888,120.2223316503481,669.5201290671885,7.656710514656253e-17,,,0,False
random_reference,tfidf,1,1,outer_test,3,random_mismatch,29,True,True,3.9253246860716695,3.2461292577144256,9.191218368251581,10.910766971036896,113.83441589607841,618.5524107146,9.188052617587502e-17,,,0,False
random_reference,tfidf,1,1,outer_test,4,random_mismatch,29,True,True,3.722614030705709,3.0738457338009044,9.116319015842686,10.402697463713086,107.95580689046557,562.3982578394957,4.976861834526564e-17,,,0,False
random_reference,tfidf,1,1,outer_test,5,random_mismatch,29,True,True,3.8236208972336394,3.1068245325410886,8.806383387173103,10.826717039067164,110.88500601977555,609.4579703840352,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,6,random_mismatch,29,True,True,3.845264398868935,2.9652360082337768,8.58702254436436,11.277765661172955,111.51266756719912,596.3131562738724,7.656710514656253e-17,,,0,False
random_reference,tfidf,1,1,outer_test,7,random_mismatch,29,True,True,3.7002879116082017,3.1672828567986215,7.123158706572753,10.73864997145491,107.30834943663785,511.3203938835886,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,8,random_mismatch,29,True,True,4.000817650128038,3.310407417305948,9.883777761263607,10.73864997145491,116.0237118537131,652.7209398416858,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,1,outer_test,9,random_mismatch,29,True,True,4.204716605309876,3.6571328329440242,8.64452337648835,10.3836053729341,121.93678155398642,655.337376050793,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,10,random_mismatch,29,True,True,4.1794148000104805,3.483316514397608,9.180761486829027,11.277765661172955,121.20302920030394,668.4386729369922,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,1,outer_test,11,random_mismatch,29,True,True,3.8217234693049855,2.963316291552718,8.654330129537346,11.660874244122805,110.82998060984458,601.8938110847828,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,12,random_mismatch,29,True,True,3.998312437318931,3.306097207105933,8.629075339829349,9.516993000976166,115.95106068224901,620.3347064748169,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,13,random_mismatch,29,True,True,3.8943720439019853,3.1767216071338935,10.912792202034483,11.660874244122805,112.93678927315757,672.1888147086065,9.188052617587502e-17,,,0,False
random_reference,tfidf,1,1,outer_test,14,random_mismatch,29,True,True,3.5205492840787573,3.1034458639395655,7.834626392126905,11.660874244122805,102.09592923828396,513.5264264656405,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,1,outer_test,15,random_mismatch,29,True,True,3.7390846127410033,3.1068245325410886,8.101403393845247,9.940039035920192,108.43345376948909,557.7324168227092,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,16,random_mismatch,29,True,True,3.7371220478937883,3.1065585581668183,8.339135925288208,8.577417676803902,108.37653938891987,550.1827455108387,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,17,random_mismatch,29,True,True,4.135713160995753,3.257603216287733,9.74881273191902,12.891370129788745,119.93568166887682,714.600520743995,1.2250736823450003e-16,,,0,False
random_reference,tfidf,1,1,outer_test,18,random_mismatch,29,True,True,4.008299560339526,3.1099850641792735,8.909954962982862,10.402697463713086,116.24068724984626,640.7423838607663,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,19,random_mismatch,29,True,True,3.832514469722911,3.2700327115311962,8.179677683979111,12.19760473801736,111.14291962196442,573.6039724983789,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,20,random_mismatch,29,True,True,3.7642143089497426,3.6313018928191,7.939408796189614,8.958199437556466,109.16221495954254,554.2553573697215,8.422381566121877e-17,,,0,False
random_reference,tfidf,1,1,outer_test,21,random_mismatch,29,True,True,3.942371035484744,3.368493978346038,8.2200610730822,10.826717039067164,114.32876002905758,581.8218214373991,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,22,random_mismatch,29,True,True,3.8068348027314824,3.115851832427462,8.598790473190583,10.400350546513833,110.39820927921299,577.8829914831277,6.891039463190627e-17,,,0,False
random_reference,tfidf,1,1,outer_test,23,random_mismatch,29,True,True,3.87239159867086,3.429628068194634,8.092382147513092,10.352864342863603,112.29935636145494,563.1828160082687,4.976861834526564e-17,,,0,False
random_reference,tfidf,1,1,outer_test,24,random_mismatch,29,True,True,3.916901247388545,3.4326792108457624,8.068415109458174,10.724055636068707,113.5901361742678,596.5777467479029,4.282972444135841e-17,,,0,False
random_reference,tfidf,1,1,outer_test,25,random_mismatch,29,True,True,4.152333169531851,3.2234350445721827,8.311271915974103,10.400350546513833,120.41766191642368,661.7477479219609,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,26,random_mismatch,29,True,True,4.002702361195604,3.544094274846289,9.593718844621403,10.826717039067164,116.07836847467252,644.5013027219798,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,27,random_mismatch,29,True,True,3.932350814494395,3.2234350445721827,9.169523627282175,10.3836053729341,114.03817362033746,607.3473932271806,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,28,random_mismatch,29,True,True,3.8291633827010765,3.301021507089846,9.479749769555738,12.891370129788745,111.04573809833121,626.8486935549236,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,29,random_mismatch,29,True,True,3.871368268792645,3.0738457338009044,8.378788536839954,12.891370129788745,112.2696797949867,621.0675110773826,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,30,random_mismatch,29,True,True,3.8360484669144976,3.189016936998232,8.381656975454776,10.571149194436725,111.24540554052044,556.1527880333841,3.2062475280123055e-17,,,0,False
random_reference,tfidf,1,1,outer_test,31,random_mismatch,29,True,True,3.756847913717052,3.041197570876841,9.612293230616501,11.260315609812888,108.9485894977945,586.6750838042767,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,32,random_mismatch,29,True,True,3.902574368401582,3.2461292577144256,9.310477110145579,10.724055636068707,113.17465668364588,627.7909049047706,7.656710514656253e-17,,,0,False
random_reference,tfidf,1,1,outer_test,33,random_mismatch,29,True,True,3.4861347399797893,2.691693850707548,7.27242144519539,10.724055636068707,101.09790745941389,489.20273713708286,6.412495056024611e-17,,,0,False
random_reference,tfidf,1,1,outer_test,34,random_mismatch,29,True,True,3.9018910989870115,3.2487915807830245,8.25826646342784,9.516993000976166,113.15484187062333,574.4200946384328,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,35,random_mismatch,29,True,True,4.014524052668072,3.3798313587113618,8.858302499301974,10.3836053729341,116.42119752737409,623.8057370708693,4.2111907830609384e-17,,,0,False
random_reference,tfidf,1,1,outer_test,36,random_mismatch,29,True,True,3.8440557447057975,3.1145771789179846,8.169055386731655,10.73864997145491,111.47761659646812,560.1677565198272,5.263988478826173e-17,,,0,False
random_reference,tfidf,1,1,outer_test,37,random_mismatch,29,True,True,3.8004846941849526,3.301021507089846,8.318987298248716,9.940039035920192,110.21405613136362,554.9219573131701,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,38,random_mismatch,29,True,True,4.011392928255686,3.4326792108457624,9.626955602644237,10.826717039067164,116.33039491941491,678.1414819157818,6.891039463190627e-17,,,0,False
random_reference,tfidf,1,1,outer_test,39,random_mismatch,29,True,True,3.9041006062464176,3.3798313587113618,8.87584085722262,10.910766971036896,113.21891758114612,588.440606034733,3.828355257328126e-17,,,0,False
random_reference,tfidf,1,1,outer_test,40,random_mismatch,29,True,True,3.7660281519402004,3.1068245325410886,8.949810920027257,9.79066913890201,109.21481640626581,584.5048511593645,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,1,outer_test,41,random_mismatch,29,True,True,4.1503167781827806,3.938303279905796,10.146430879321263,10.400350546513833,120.35918656730063,699.4251018956269,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,42,random_mismatch,29,True,True,3.808785764755732,3.5502968772514807,7.929115111467438,10.595234719060487,110.45478717791623,554.7787208837891,1.148506577198438e-16,,,0,False
random_reference,tfidf,1,1,outer_test,43,random_mismatch,29,True,True,3.7568426722840935,3.208584796054166,8.139605296836503,10.910766971036896,108.94843749623871,570.5569620937872,5.74253288599219e-17,,,0,False
random_reference,tfidf,1,1,outer_test,44,random_mismatch,29,True,True,3.739054679678208,3.1065585581668183,8.020130474402308,10.910766971036896,108.43258571066802,556.1421290844206,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,1,outer_test,45,random_mismatch,29,True,True,4.083679645380186,3.4678705506327354,8.73443844338683,12.19760473801736,118.42670971602539,657.8370689826661,3.828355257328126e-17,,,0,False
random_reference,tfidf,1,1,outer_test,46,random_mismatch,29,True,True,3.7264372979309757,3.2700327115311962,7.987599743450383,8.91533987899217,108.0666816399983,552.9132290442611,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,1,outer_test,47,random_mismatch,29,True,True,4.026529793759557,3.1672828567986215,8.319118757129019,12.891370129788745,116.76936401902714,665.6156564285762,7.943837158955862e-17,,,0,False
random_reference,tfidf,1,1,outer_test,48,random_mismatch,29,True,True,4.091570030808554,3.525834200301236,8.851470330999918,10.73864997145491,118.65553089344806,635.8036743193129,4.785444071660157e-17,,,0,False
random_reference,tfidf,1,1,outer_test,49,random_mismatch,29,True,True,3.88845984388966,3.1494247205427337,8.539297048416074,10.400350546513833,112.76533547280015,591.4837019069823,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,1,outer_test,50,random_mismatch,29,True,True,4.286504024356032,3.544094274846289,9.60672737723157,11.260315609812888,124.30861670632493,710.1730988984507,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,51,random_mismatch,29,True,True,3.927547716847196,3.2475178273452214,9.233988479471147,12.19760473801736,113.89888378856868,637.2155352712984,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,52,random_mismatch,29,True,True,3.840696678351944,3.1068245325410886,9.321880291089025,12.19760473801736,111.38020367220638,598.3888306965707,5.4314790213342787e-17,,,0,False
random_reference,tfidf,1,1,outer_test,53,random_mismatch,29,True,True,4.125779429980775,3.2475178273452214,8.277375985286286,9.940039035920192,119.64760346944249,632.1537634449414,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,54,random_mismatch,29,True,True,3.930343181470472,3.1545624700856987,9.080913591076445,9.940039035920192,113.97995226264369,602.3558004189244,6.125368411725002e-17,,,0,False
random_reference,tfidf,1,1,outer_test,55,random_mismatch,29,True,True,3.700935078707741,3.0765372571128347,8.967371926466434,9.79066913890201,107.3271172825245,557.7640030723586,3.6369374944617196e-17,,,0,False
random_reference,tfidf,1,1,outer_test,56,random_mismatch,29,True,True,3.657124991132732,3.0609473876718165,8.891347654966005,9.002059958115945,106.05662474284922,543.4182317868234,2.368794815471778e-17,,,0,False
random_reference,tfidf,1,1,outer_test,57,random_mismatch,29,True,True,3.9201232943168085,3.229203355848167,8.868625022087933,11.260315609812888,113.68357553518744,621.1904584142806,6.603912818891018e-17,,,0,False
random_reference,tfidf,1,1,outer_test,58,random_mismatch,29,True,True,3.9859570877617987,2.8402719026109557,8.144774365099199,10.352864342863603,115.59275554509216,617.0856494833463,1.155684743305928e-16,,,0,False
random_reference,tfidf,1,1,outer_test,59,random_mismatch,29,True,True,4.2798054920104605,3.7803761260265785,9.692776528668224,11.660874244122805,124.11435926830336,718.6564115241733,1.0719394720518753e-16,,,0,False
random_reference,tfidf,1,1,outer_test,60,random_mismatch,29,True,True,3.8735561104752914,3.368493978346038,8.459704504303552,11.660874244122805,112.33312720378345,581.8222566034692,6.891039463190627e-17,,,0,False
random_reference,tfidf,1,1,outer_test,61,random_mismatch,29,True,True,3.724072304495624,3.0602188637112233,8.093464759402233,11.277765661172955,107.99809683037309,567.2703559859665,8.422381566121877e-17,,,0,False
