feature_type,removed_domain,full_auc,reduced_auc,delta_auc,full_logloss,reduced_logloss,delta_logloss,importance_rank
count,depressed_mood_count,0.8160676532769555,0.8056142823584683,0.010453370918487193,0.5303249357239789,0.5397165851011181,0.00939164937713921,4.0
count,appetite_weight_count,0.8160676532769555,0.8051444679351657,0.01092318534178982,0.5303249357239789,0.5461639585423682,0.015839022818389337,3.0
count,suicide_self_harm_count,0.8160676532769555,0.8071411792342025,0.008926474042753041,0.5303249357239789,0.5484365960817777,0.018111660357798876,5.0
count,functioning_impairment_count,0.8160676532769555,0.7872915198496594,0.028776133427296124,0.5303249357239789,0.5503304659077664,0.02000553018378748,1.0
count,mental_health_history_count,0.8160676532769555,0.8013859525487432,0.014681700728212288,0.5303249357239789,0.5423894154394968,0.01206447971551794,2.0
