model,feature,correct_mean,incorrect_mean,diff,mwu_p,q_value
complex,suicide_self_harm_count,0.106,0.034,-0.072,0.331,0.4936
complex,functioning_impairment_count,0.779,1.0,0.221,0.3149,0.4936
complex,mental_health_history_count,1.195,1.448,0.254,0.2298,0.4936
complex,protective_or_absent_symptom_count,2.407,1.793,-0.614,0.0372,0.4936
complex,depressed_mood_pres,0.593,0.69,0.097,0.3433,0.4936
complex,anhedonia_interest_pres,0.168,0.103,-0.065,0.3943,0.4979
complex,sleep_fatigue_energy_pres,0.858,0.931,0.073,0.2981,0.4936
complex,appetite_weight_pres,0.053,0.138,0.085,0.1138,0.4936
complex,self_worth_guilt_pres,0.425,0.345,-0.08,0.438,0.5037
complex,concentration_psychomotor_pres,0.221,0.138,-0.083,0.3243,0.4936
complex,suicide_self_harm_pres,0.088,0.034,-0.054,0.3362,0.4936
complex,functioning_impairment_pres,0.407,0.517,0.11,0.2881,0.4936
complex,mental_health_history_pres,0.549,0.655,0.106,0.3045,0.4936
complex,protective_or_absent_symptom_pres,0.956,0.862,-0.094,0.0666,0.4936
