model_a,model_b,delta_auc,delta_auc_ci_lower,delta_auc_ci_upper,permutation_p,q_value,significance
all10_count,coverage_sum,0.04322292694385721,-0.02302736787895908,0.10801732967312146,0.3408,0.8614799999999999,ns
all10_count,density_sum,0.043457834155508746,-0.02085342126541331,0.11277129392314403,0.3393,0.8614799999999999,ns
all10_count,phq8_count,0.016913319238900715,-0.02966534872348136,0.06875876923352114,0.4665,0.8614799999999999,ns
all10_count,risk_count,0.010570824524313127,-0.04048214285714293,0.06203829959670213,0.7179,0.8614799999999999,ns
all10_count,all10_presence,0.0032887009631197284,-0.04166666666666663,0.04886473190711013,0.9011,0.9011,ns
all10_count,M3_strict,-0.019967112990368574,-0.0962711759257813,0.05613357843137248,0.5874,0.8614799999999999,ns
