representation,repeat,draw,draw_type,matched_model_name,weak_real_delta_auc,weak_matched_delta_auc,full_real_delta_auc,full_matched_delta_auc,weak_real_minus_matched_delta_auc,weak_matched_minus_no_i_delta_auc,real_minus_matched_delta_auc,matched_minus_no_i_delta_auc,weak_real_minus_optimal_delta_auc_x,weak_real_minus_random_delta_auc,weak_optimal_minus_no_i_delta_auc_x,weak_random_minus_no_i_delta_auc,real_minus_optimal_delta_auc,real_minus_random_delta_auc,optimal_minus_no_i_delta_auc,random_minus_no_i_delta_auc,real_minus_matched_full_delta_auc,mean_abs_probability_change_weak,mean_abs_probability_change_full,interpretation_scope_x,full_real_minus_optimal_delta_auc,full_real_minus_optimal_ci_low,full_real_minus_optimal_ci_high,full_real_minus_optimal_p_value,full_optimal_minus_no_i_delta_auc,full_optimal_minus_no_i_ci_low,full_optimal_minus_no_i_ci_high,weak_real_minus_optimal_delta_auc_y,weak_real_minus_optimal_ci_low,weak_real_minus_optimal_ci_high,weak_real_minus_optimal_p_value,weak_optimal_minus_no_i_delta_auc_y,weak_optimal_minus_no_i_ci_low,weak_optimal_minus_no_i_ci_high,real_minus_matched_delta_auc_observed,matched_minus_no_i_delta_auc_observed,ci_low,ci_high,optimal_minus_no_i_ci_low,optimal_minus_no_i_ci_high,p_value,n_bootstrap,n_permutations,primary_pairing_control,secondary_pairing_control,weak_control_scope,interpretation_scope_y
mpnet,1,0,optimal_matched,P+I-optimal_matched,0.04604181348367409,-0.016913319238900604,-0.02067183462532307,0.018557669720460468,0.06295513272257469,-0.016913319238900604,-0.03922950434578354,0.018557669720460468,0.06295513272257469,,-0.016913319238900604,,-0.03922950434578354,,0.018557669720460468,,-0.03922950434578354,0.1108296840924013,0.10711736832743345,pairing_dependence_not_identified_interaction_effect,-0.03922950434578354,-0.08174770965468647,-0.00023490721165142503,0.048095190480951906,0.018557669720460468,-0.02020202020202022,0.05873267559314068,0.06295513272257469,-0.009866102889358633,0.14235377026074691,0.1421857814218578,-0.016913319238900604,-0.0653042048390885,0.030778717406624325,-0.03922950434578354,0.018557669720460468,-0.08174770965468647,-0.00023490721165142503,-0.02020202020202022,0.05873267559314068,0.048095190480951906,5000.0,10000.0,P+Q+R+D+I-real_vs_P+Q+R+D+I-optimal_matched,P+I-real_vs_P+I-optimal_matched,secondary_weak_control_pairing,pairing_dependence_full_control_primary
mpnet,2,0,optimal_matched,P+I-optimal_matched,0.013389711064129672,-0.015621329574817877,-0.06412966878083148,0.04486727742541696,0.02901104063894755,-0.015621329574817877,-0.10899694620624845,0.04486727742541696,0.02901104063894755,,-0.015621329574817877,,-0.10899694620624845,,0.04486727742541696,,-0.10899694620624845,0.2345935536577141,0.15381113488975143,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpnet,3,0,optimal_matched,P+I-optimal_matched,0.03969931876908628,0.044397463002114224,0.017852948085506193,0.016913319238900715,-0.0046981442330279455,0.044397463002114224,0.0009396288466054781,0.016913319238900715,-0.0046981442330279455,,0.044397463002114224,,0.0009396288466054781,,0.016913319238900715,,0.0009396288466054781,0.05077204900373349,0.008621509906574162,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpnet,4,0,optimal_matched,P+I-optimal_matched,-0.06694855532064836,-0.05684754521963831,0.007751937984496138,0.0007047216349541641,-0.010101010101010055,-0.05684754521963831,0.007047216349541974,0.0007047216349541641,-0.010101010101010055,,-0.05684754521963831,,0.007047216349541974,,0.0007047216349541641,,0.007047216349541974,0.2770200397529061,0.15616527813179978,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpnet,5,0,optimal_matched,P+I-optimal_matched,-0.03641061780596666,-0.11064129668780853,-0.03735024665257225,-0.0934930702372565,0.07423067888184187,-0.11064129668780853,0.056142823584684254,-0.0934930702372565,0.07423067888184187,,-0.11064129668780853,,0.056142823584684254,,-0.0934930702372565,,0.056142823584684254,0.17334690093212976,0.17446616999597303,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpnet,6,0,optimal_matched,P+I-optimal_matched,0.08973455485083393,-0.04275311252055436,0.00023490721165142503,-0.18463706835799854,0.13248766737138828,-0.04275311252055436,0.18487197556964996,-0.18463706835799854,0.13248766737138828,,-0.04275311252055436,,0.18487197556964996,,-0.18463706835799854,,0.18487197556964996,0.19817206694190542,0.19206988656107626,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpnet,7,0,optimal_matched,P+I-optimal_matched,-0.013859525487432522,-0.008926474042753152,-0.08022081277895243,-0.01620859760394644,-0.0049330514446793705,-0.008926474042753152,-0.064012215175006,-0.01620859760394644,-0.0049330514446793705,,-0.008926474042753152,,-0.064012215175006,,-0.01620859760394644,,-0.064012215175006,0.18226188753125783,0.12217179535143863,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpnet,8,0,optimal_matched,P+I-optimal_matched,-0.02654451491660792,-0.022081277895231288,-0.0051679586563306845,0.015034061545689537,-0.0044632370213766315,-0.022081277895231288,-0.02020202020202022,0.015034061545689537,-0.0044632370213766315,,-0.022081277895231288,,-0.02020202020202022,,0.015034061545689537,,-0.02020202020202022,0.18234637247811783,0.06940943652870589,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpnet,9,0,optimal_matched,P+I-optimal_matched,0.01573878318064359,0.028893587033121948,0.0032887009631195063,-0.028658679821470634,-0.013154803852478358,0.028893587033121948,0.03194738078459014,-0.028658679821470634,-0.013154803852478358,,0.028893587033121948,,0.03194738078459014,,-0.028658679821470634,,0.03194738078459014,0.09633785967514344,0.05556806055168092,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpnet,10,0,optimal_matched,P+I-optimal_matched,-0.007047216349541863,-0.03735024665257214,-0.012684989429175397,0.018322762508808932,0.030303030303030276,-0.03735024665257214,-0.03100775193798433,0.018322762508808932,0.030303030303030276,,-0.03735024665257214,,-0.03100775193798433,,0.018322762508808932,,-0.03100775193798433,0.02730880371007392,0.046617128681958934,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
