representation,repeat,subset,prediction_scope,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,interpretation_scope,total_recoverability_r2,full_label_conditioned_r2,interpretation_flag,high_total_r2_threshold,near_zero_conditioned_r2_threshold
bge,1,D,outer_test,0.05640301393029323,0.017308587989906032,0.4299705389245104,0.5381123220442252,0.3189816226435429,0.28956487113582796,0.306873459125734,True,label_conditioned_recoverability,0.42355752230287314,0.34322073339869963,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,1,P_within,outer_test,0.013970748216420192,0.004287251831747552,0.44599444283474443,0.5500783646845115,0.09999140805254082,0.30258620729398644,0.306873459125734,True,label_conditioned_recoverability,0.42355752230287314,0.34322073339869963,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,1,P_within+Q+R+D,outer_test,0.34322073339869963,0.10532533370173028,0.3612532430169767,0.44894111576464424,0.5968364868574638,0.20154812542400372,0.306873459125734,True,label_conditioned_recoverability,0.42355752230287314,0.34322073339869963,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,1,Q,outer_test,0.11595266468250287,0.035582795305965975,0.41389942397784013,0.5208557034532386,0.3775951348621412,0.271290663819768,0.306873459125734,True,label_conditioned_recoverability,0.42355752230287314,0.34322073339869963,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,1,R,outer_test,0.32329711255014637,0.09921130325362515,0.3641848512611731,0.45569963339036035,0.5864926203553714,0.20766215587210884,0.306873459125734,True,label_conditioned_recoverability,0.42355752230287314,0.34322073339869963,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,2,D,outer_test,0.002319492685514124,0.0005854635707815414,0.3912527446376486,0.5018214008777282,0.04895948263851192,0.25182471837888554,0.2524101819496671,True,label_conditioned_recoverability,0.28449901416452306,0.23897148005267888,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,2,P_within,outer_test,0.06649719907407647,0.01678457011743087,0.38631770615505046,0.4854128261925474,0.12152157102711493,0.2356256118322362,0.2524101819496671,True,label_conditioned_recoverability,0.28449901416452306,0.23897148005267888,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,2,P_within+Q+R+D,outer_test,0.23897148005267888,0.060318834760877904,0.3364665267229744,0.4382822688505539,0.46983073863505387,0.19209134718878917,0.2524101819496671,True,label_conditioned_recoverability,0.28449901416452306,0.23897148005267888,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,2,Q,outer_test,0.1077436010079319,0.02719558193432442,0.3643881718235602,0.474567803390983,0.4270260755127402,0.22521460001534266,0.2524101819496671,True,label_conditioned_recoverability,0.28449901416452306,0.23897148005267888,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,2,R,outer_test,0.24844365349890296,0.06270970778389814,0.33558614797512104,0.4355461791426587,0.5129581236863228,0.18970047416576893,0.2524101819496671,True,label_conditioned_recoverability,0.28449901416452306,0.23897148005267888,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
