record_type,representation,repeat,outer_fold,draw,partition,feature,assignment_type,mean_signed_standardized_paired_difference,mean_abs_standardized_paired_difference,median_abs_standardized_paired_difference,q95_abs_standardized_paired_difference,before_standardized_mean_difference,after_standardized_mean_difference,max_abs_smd,mean_distance,median_distance,q95_distance,max_distance,total_cost,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,matching_adequate,self_match_count,max_donor_reuse_count,one_to_one
quality,tfidf,1,1,0,outer_test,interviewer_word_count,optimal_matched,7.656710514656252e-18,0.6356515797241403,0.3886064522529745,2.305731616700977,0.0,7.656710514656252e-18,1.5313421029312504e-17,1.8421203752548119,1.4485561977505763,5.150746615798591,6.245210953489757,156.75200454943612,3.6499774570054866,0.009900990099009901,0,False,0,1,True
quality,tfidf,1,1,0,outer_test,interviewer_turn_count,optimal_matched,6.699621700324221e-18,0.5237262722876315,0.24108034756097316,1.8201566240853446,0.0,6.699621700324221e-18,1.5313421029312504e-17,1.8421203752548119,1.4485561977505763,5.150746615798591,6.245210953489757,156.75200454943612,3.6499774570054866,0.009900990099009901,0,False,0,1,True
quality,tfidf,1,1,0,outer_test,clinical_question_count,optimal_matched,0.0,0.5192172618143098,0.5019100197538329,1.9072580750645618,0.0,0.0,1.5313421029312504e-17,1.8421203752548119,1.4485561977505763,5.150746615798591,6.245210953489757,156.75200454943612,3.6499774570054866,0.009900990099009901,0,False,0,1,True
quality,tfidf,1,1,0,outer_test,clinical_prompt_coverage_count,optimal_matched,0.0,0.5650672156037329,0.546231641750275,2.0756802386510413,0.0,0.0,1.5313421029312504e-17,1.8421203752548119,1.4485561977505763,5.150746615798591,6.245210953489757,156.75200454943612,3.6499774570054866,0.009900990099009901,0,False,0,1,True
quality,tfidf,1,1,0,outer_test,non_explicit_interviewer_turn_count,optimal_matched,-7.656710514656252e-18,0.5200499725798899,0.25780255050968903,1.8046178535678212,0.0,-7.656710514656252e-18,1.5313421029312504e-17,1.8421203752548119,1.4485561977505763,5.150746615798591,6.245210953489757,156.75200454943612,3.6499774570054866,0.009900990099009901,0,False,0,1,True
quality,tfidf,1,1,0,outer_test,d_p_domain_breadth,optimal_matched,0.0,0.6079134276613691,0.5876496467393235,1.5278890815222397,0.0,0.0,1.5313421029312504e-17,1.8421203752548119,1.4485561977505763,5.150746615798591,6.245210953489757,156.75200454943612,3.6499774570054866,0.009900990099009901,0,False,0,1,True
quality,tfidf,1,1,0,outer_test,d_p_total_evidence_count,optimal_matched,1.5313421029312504e-17,0.842042401213457,0.7793371160167102,2.078232309377894,0.0,1.5313421029312504e-17,1.5313421029312504e-17,1.8421203752548119,1.4485561977505763,5.150746615798591,6.245210953489757,156.75200454943612,3.6499774570054866,0.009900990099009901,0,False,0,1,True
quality,tfidf,1,1,1,outer_test,interviewer_word_count,random_mismatch,5.3596973602593766e-17,1.254123387023304,1.0861052127070314,3.9458501305686604,0.0,5.3596973602593766e-17,5.3596973602593766e-17,3.6928021265022055,2.6054420542122365,9.74881273191902,10.571149194436725,595.0575245610979,3.6499774570054866,0.09900990099009901,0,False,0,1,True
quality,tfidf,1,1,1,outer_test,interviewer_turn_count,random_mismatch,1.6031237640061527e-17,1.176305833788886,0.8437812164634061,3.917555647865809,0.0,1.6031237640061527e-17,5.3596973602593766e-17,3.6928021265022055,2.6054420542122365,9.74881273191902,10.571149194436725,595.0575245610979,3.6499774570054866,0.09900990099009901,0,False,0,1,True
quality,tfidf,1,1,1,outer_test,clinical_question_count,random_mismatch,0.0,1.0730490077495738,0.5019100197538329,3.5133701382768248,0.0,0.0,5.3596973602593766e-17,3.6928021265022055,2.6054420542122365,9.74881273191902,10.571149194436725,595.0575245610979,3.6499774570054866,0.09900990099009901,0,False,0,1,True
