representation,repeat,model_name,roc_auc,pr_auc,brier,log_loss,sensitivity_at_0_50,specificity_at_0_50,interpretation_scope
bge,1,base,0.8780831571529246,0.7496722350024339,0.1595680919487901,0.4840378750715886,0.9302325581395349,0.6565656565656566,residual_label_increment
bge,1,enhanced,0.8919426826403569,0.7794052249374791,0.14521299495214446,0.4420014722494093,0.8604651162790697,0.7474747474747475,residual_label_increment
bge,2,base,0.818651632605121,0.6357589400907927,0.17692915754091468,0.5531215546766254,0.7674418604651163,0.7373737373737373,residual_label_increment
bge,2,enhanced,0.8536528071411792,0.7152072715633863,0.15941515200538217,0.4794492206107375,0.7906976744186046,0.7777777777777778,residual_label_increment
bge,3,base,0.8327460653042048,0.7002738288016486,0.17184639031955876,0.5297782044198148,0.8372093023255814,0.7070707070707071,residual_label_increment
bge,3,enhanced,0.8085506225041109,0.6527301190533974,0.17199223515398226,0.6508626445323321,0.6511627906976745,0.797979797979798,residual_label_increment
bge,4,base,0.8691566831101715,0.744357083525547,0.15620330182024203,0.4741905539275607,0.7906976744186046,0.7474747474747475,residual_label_increment
bge,4,enhanced,0.8184167253934695,0.6619319480980734,0.17913997254199895,0.5637874704614106,0.7674418604651163,0.7272727272727273,residual_label_increment
bge,5,base,0.8520084566596194,0.7378309303044359,0.15944027374902278,0.4726093301213835,0.7906976744186046,0.7171717171717171,residual_label_increment
bge,5,enhanced,0.8618745595489782,0.7542058057223647,0.15658742725256658,0.4662694552191194,0.7906976744186046,0.7373737373737373,residual_label_increment
bge,6,base,0.8543575287761335,0.7371333848304783,0.16346159999838017,0.48438208266201677,0.7906976744186046,0.7373737373737373,residual_label_increment
bge,6,enhanced,0.8705661263800799,0.7641526147287856,0.152136803140146,0.4533171986946991,0.7906976744186046,0.7575757575757576,residual_label_increment
bge,7,base,0.8482499412731971,0.7239705161529607,0.16519923269698436,0.49499329790250707,0.813953488372093,0.7373737373737373,residual_label_increment
bge,7,enhanced,0.8200610758750293,0.6447927715902813,0.17955553076575695,1.0396262290856917,0.7674418604651163,0.7575757575757576,residual_label_increment
bge,8,base,0.8501291989664083,0.6936910854081482,0.16632597600097007,0.5025726586655337,0.8372093023255814,0.7171717171717171,residual_label_increment
bge,8,enhanced,0.7704956542165844,0.6300573439251489,0.20604057323539954,0.6081232279276413,0.7906976744186046,0.6868686868686869,residual_label_increment
bge,9,base,0.8372093023255813,0.6929172069733099,0.1628509045570781,0.49293668028057297,0.7209302325581395,0.7777777777777778,residual_label_increment
bge,9,enhanced,0.8386187455954898,0.7387577971697492,0.15929446968035538,0.4842956373816762,0.7674418604651163,0.7575757575757576,residual_label_increment
bge,10,base,0.8466055907916373,0.6914465839344678,0.17071817109876694,0.5168070591094971,0.8372093023255814,0.696969696969697,residual_label_increment
bge,10,enhanced,0.8383838383838383,0.7006820806111231,0.17141269692143385,0.522320077858731,0.8372093023255814,0.696969696969697,residual_label_increment
