domain,domain_group,positive_presence_rate,negative_presence_rate,risk_difference,odds_ratio,fisher_p,fdr_bh_q,positive_mean_count,negative_mean_count,mean_difference,mannwhitney_p,count_fdr_bh_q,interpretation
anhedonia_interest,PHQ-core,0.16279069767441862,0.15151515151515152,0.011275546159267097,1.1201944321696862,1.0,1.0,0.20930232558139536,0.18181818181818182,0.027484143763213537,0.8431527132418122,0.8469721203460546,Not significant after FDR
depressed_mood,PHQ-core,0.7906976744186046,0.5353535353535354,0.25534413906506925,3.1564190850959175,0.004787482801990986,0.011968707004977465,1.558139534883721,0.7373737373737373,0.8207657975099837,0.00036972389856252823,0.0009243097464063205,Higher in positive group (significant)
sleep_fatigue_energy,PHQ-core,0.9534883720930233,0.8383838383838383,0.11510453370918494,3.2802395209580837,0.09636285280528918,0.16060475467548196,1.8837209302325582,1.3737373737373737,0.5099835564951845,0.03538766367128319,0.05897943945213865,Not significant after FDR
appetite_weight,PHQ-core,0.16279069767441862,0.030303030303030304,0.1324876673713883,5.665362035225049,0.008755302928179685,0.01751060585635937,0.23255813953488372,0.04040404040404041,0.1921540991308433,0.004823785200677669,0.009647570401355337,Higher in positive group (significant)
self_worth_guilt,PHQ-core,0.4186046511627907,0.40404040404040403,0.014564247122386687,1.0658436213991769,1.0,1.0,0.5348837209302325,0.5151515151515151,0.01973220577871737,0.8469721203460546,0.8469721203460546,Not significant after FDR
concentration_psychomotor,PHQ-core,0.2558139534883721,0.18181818181818182,0.07399577167019028,1.5588357588357589,0.3665081167093209,0.5235830238704584,0.3488372093023256,0.1919191919191919,0.15691801738313368,0.2565373540446688,0.3664819343495269,Not significant after FDR
suicide_self_harm,PHQ-core,0.20930232558139536,0.020202020202020204,0.18910030537937517,10.73913043478261,0.0003677403819930019,0.0012258012733100065,0.2558139534883721,0.020202020202020204,0.2356119332863519,0.00010797860009481022,0.0003599286669827007,Higher in positive group (significant)
functioning_impairment,clinical-context,0.7674418604651163,0.2828282828282828,0.4846135776368335,8.004177109440267,1.0860423955750886e-07,1.0860423955750886e-06,1.6046511627906976,0.48484848484848486,1.1198026779422128,1.731884601786099e-08,1.7318846017860987e-07,Higher in positive group (significant)
mental_health_history,clinical-context,0.8604651162790697,0.4444444444444444,0.4160206718346253,7.19533275713051,2.7305938237959695e-06,1.3652969118979846e-05,2.1627906976744184,0.8484848484848485,1.3143058491895698,3.743669934175912e-07,1.871834967087956e-06,Higher in positive group (significant)
protective_or_absent_symptom,protective/denial,0.9534883720930233,0.9292929292929293,0.024195442800094003,1.345945945945946,0.7231087936099863,0.9038859920124829,2.255813953488372,2.292929292929293,-0.037115339440920714,0.7719754391031548,0.8469721203460546,Not significant after FDR
