condition,rule,n_folds,mean,sd,median,q1,q3,iqr,min,max
full_transcript,max_macro_f1,50,0.6383113875928903,0.14786046433554823,0.6590127615015873,0.5814550624454633,0.6906722033851181,0.10921714093965484,0.2679216715625521,0.9630689907248784
full_transcript,max_youden_j,50,0.5262340170276407,0.1658733933378681,0.5226143705430355,0.42102765374251205,0.6607774221358864,0.23974976839337436,0.1209286091983484,0.9630689907248784
full_transcript,sensitivity_at_spec80,50,0.7096692327032632,0.09537946705971995,0.6744949440385657,0.6494338592561928,0.7495333638829094,0.10009950462671657,0.5746498692688309,0.9310301308903469
participant_speech,max_macro_f1,50,0.683688305270905,0.10822150376873065,0.6900573227014873,0.6406585152958512,0.7316250156993855,0.09096650040353438,0.4743827919204474,0.9958427593648104
participant_speech,max_youden_j,50,0.5850499988165379,0.10288577572143727,0.6072420801412723,0.4963497908532213,0.6566959722957687,0.16034618144254742,0.394522654394123,0.7891341860582008
participant_speech,sensitivity_at_spec80,50,0.6779353577937143,0.0734081606817892,0.6598015451229853,0.6373186301411016,0.6956058145764408,0.0582871844353392,0.5891365428202455,0.9442570806270271
interviewer_speech,max_macro_f1,50,0.677441050116298,0.15802907823853557,0.633955777080149,0.559598609992422,0.7629645567435542,0.2033659467511323,0.42731957189726855,0.9987063342588709
interviewer_speech,max_youden_j,50,0.5192081941347311,0.19067546497029322,0.484403400503319,0.4036025479812742,0.6067752510305793,0.20317270304930507,0.0076023032097199215,0.9909240935201443
interviewer_speech,sensitivity_at_spec80,50,0.7550122745553726,0.09733356428883683,0.7196952973959861,0.6882972054904435,0.7943664551878868,0.10606924969744336,0.6131526078190819,0.9872227836193624
non_explicit_interviewer_speech,max_macro_f1,50,0.6072811444887655,0.17529759304937823,0.5891145002246749,0.4958401410187876,0.671241794385704,0.17540165336691638,0.20239612773253657,0.9732947858252812
non_explicit_interviewer_speech,max_youden_j,50,0.452573122982021,0.1747939012695637,0.47036834746664186,0.3534338905753227,0.5630799610601817,0.20964607048485895,0.043105790799925936,0.8981449918724524
non_explicit_interviewer_speech,sensitivity_at_spec80,50,0.7663015901134692,0.10396389562733058,0.7397194503040768,0.6891522280498669,0.831090172684501,0.14193794463463416,0.6072323362162364,0.9892871846912841
participant_symptom_evidence,max_macro_f1,50,0.6740079566484352,0.08148615182559237,0.6916755000551743,0.6183496910467363,0.7356763739409453,0.117326682894209,0.4346293506697215,0.7937073852407244
participant_symptom_evidence,max_youden_j,50,0.5847241357860204,0.10237385235110673,0.5897359457281803,0.500774598816807,0.6602502242241455,0.1594756254073385,0.4092537388907316,0.7937073852407244
participant_symptom_evidence,sensitivity_at_spec80,50,0.6860606950695938,0.04908868279085184,0.691755785962516,0.6535865373921993,0.7081574700694565,0.05457093267725721,0.5725775714401553,0.8952913250316634
