comparison,description,delta_auc,ci_lower,ci_upper,perm_p,q_value,significance
D1 vs M0,domain_count_10 vs patient_text,0.09586269097441008,0.012900864293085713,0.1823863795518207,0.2956704329567043,0.8737126287371263,ns
D1 vs M3,domain_count_10 vs joint_M3,-0.011753829874309547,-0.08777360790753652,0.06408718297101448,0.8701129887011299,0.8737126287371263,ns
D1 vs D0,10_domain_count vs total_count,0.04812877442877582,-0.015007061690642103,0.11501197054812656,0.1468853114688531,0.8737126287371263,ns
D1 vs P1,count vs presence,0.0056855312197879836,-0.05655218086177379,0.07285235640648019,0.8737126287371263,0.8737126287371263,ns
D0 vs P0,total_count vs total_presence,-0.015964473326109545,-0.08402084111277083,0.05252742867241461,0.6328367163283671,0.8737126287371263,ns
M0_D1 vs M0,patient+domain vs patient_only,0.07466083854845981,-0.014295727636849189,0.16422337305832463,0.41105889411058893,0.8737126287371263,ns
M3 vs D1,joint vs domain_only,0.011753829874309547,-0.06408718297101451,0.08777360790753651,0.8701129887011299,0.8737126287371263,ns
