representation,repeat,P_alone_r2,Q_alone_r2,R_alone_r2,D_alone_r2,full_r2,full_minus_R_r2,P+R_minus_R_r2,R+D_minus_R_r2,P+R+D_minus_R_r2,P+Q+R+D_minus_R_r2,interpretation_scope
bge,1,0.1313858372488162,0.1096775901958871,0.3895466717024246,0.1165481796455412,0.4235575223028731,0.034010850600448506,0.02944234862249001,0.011661865891438805,0.03545669672696855,0.034010850600448506,descriptive_score_recoverability_increment_not_significance
bge,2,0.0579088339240136,0.1116948422031735,0.3057144930428271,0.0617475164324646,0.284499014164523,-0.021215478878304106,-0.006877600373006221,-0.013831725702555808,-0.020250340097080988,-0.021215478878304106,descriptive_score_recoverability_increment_not_significance
bge,3,0.0240542268359272,-0.0395705881574059,0.0833041204785709,0.0089957881950256,0.0414032814413684,-0.0419008390372025,0.009448882214024498,-0.0321724425442073,-0.026198472198142003,-0.0419008390372025,descriptive_score_recoverability_increment_not_significance
bge,4,0.0237791610681274,-0.0267832450686129,0.1969591889174708,0.0845663535973819,0.1861918172855657,-0.01076737163190511,-0.005347563825391394,-0.023191196435361106,-0.024866889208818493,-0.01076737163190511,descriptive_score_recoverability_increment_not_significance
bge,5,0.0324289170028686,0.0912238776439895,0.3382963447538152,0.0934980731693859,0.3236409469283897,-0.01465539782542552,-0.0030920343060761857,0.0011400398863296024,-0.0003093191869000256,-0.01465539782542552,descriptive_score_recoverability_increment_not_significance
bge,6,0.085609102480556,-0.0078526460440666,0.2317300741831605,0.0183528568102309,0.2146311889212696,-0.017098885261890906,0.0160667906412765,-0.021774368532991806,-0.007882748934921496,-0.017098885261890906,descriptive_score_recoverability_increment_not_significance
bge,7,-0.0218850392878393,-0.0397927041009205,0.090673498041625,0.0253181137619933,0.0732437923191966,-0.0174297057224284,-0.007038268316457305,-0.007484125728425703,-0.013844882323480495,-0.0174297057224284,descriptive_score_recoverability_increment_not_significance
bge,8,0.012745885820131,0.0100851082914994,0.1986260473169473,0.0688633826658783,0.1908377947319562,-0.007788252584991107,-0.007413935977340108,-0.0006629246079626894,-0.007488662734183499,-0.007788252584991107,descriptive_score_recoverability_increment_not_significance
bge,9,-0.0745448814103231,0.1293389035326896,0.2826324573264008,0.0728878577856378,0.3161251296427312,0.03349267231633041,0.04291579362642828,-0.001954453899385089,0.036849128667324205,0.03349267231633041,descriptive_score_recoverability_increment_not_significance
bge,10,0.0060343106427492,0.0532738654742225,0.260085205544396,0.07707100007899,0.2543646723418719,-0.005720533202524136,-0.0039389524310224355,0.0003002121055574736,-0.0017990456753912976,-0.005720533202524136,descriptive_score_recoverability_increment_not_significance
mpnet,1,0.1660109529348493,0.2194262552912511,0.2897972420109841,0.0738886640728161,0.2967210380639399,0.0069237960529557885,0.01823489662981137,-0.011110086131340513,0.001083041311667865,0.0069237960529557885,descriptive_score_recoverability_increment_not_significance
mpnet,2,-5.156048592211278,0.0114297359994031,0.0137657694547256,0.0025310410733101,-0.1713350948762995,-0.1851008643310251,-0.1592699879077302,-0.0009300501977244999,-0.1934636218660231,-0.1851008643310251,descriptive_score_recoverability_increment_not_significance
mpnet,3,-0.0056587723185941,-0.0209398841155066,0.0906933597515688,-0.0223085565482408,0.0678819249618878,-0.022811434789680993,0.002513925058044611,-0.011687309315363395,-0.008268975699747994,-0.022811434789680993,descriptive_score_recoverability_increment_not_significance
mpnet,4,0.0205314515742329,-0.0431174283049673,-0.3744576760102047,-0.0506011652309483,-0.3791341310233316,-0.004676455013126912,0.008156132157525198,-0.03540121847663641,-0.020849435034136,-0.004676455013126912,descriptive_score_recoverability_increment_not_significance
mpnet,5,0.0235855984248514,0.064864224504142,0.1463804403177294,0.0547921855394054,0.1578360759948873,0.011455635677157905,8.22784960949341e-06,0.015129285090572597,0.014817252539926995,0.011455635677157905,descriptive_score_recoverability_increment_not_significance
mpnet,6,0.0009236639185218,-0.0007206097360117,-0.026492919384627,-0.0009887051962529,-0.0278067338545329,-0.0013138144699058989,-0.0019048707557473982,0.0002035141954947993,-0.001979983449096799,-0.0013138144699058989,descriptive_score_recoverability_increment_not_significance
mpnet,7,-0.0666521761786482,-0.0292717561872759,-0.1591635640750039,-0.0089343085588533,-0.1662640887089697,-0.0071005246339657935,-0.017447104156218612,-0.0010880004196865134,-0.01437728480388259,-0.0071005246339657935,descriptive_score_recoverability_increment_not_significance
mpnet,8,-16.097944893231812,-1.106428427972582,-1.1710891781020425,-0.1057206675409665,-1.1711386934886878,-4.951538664532684e-05,-0.1690603055123885,0.05177170025774269,-0.07750115486991249,-4.951538664532684e-05,descriptive_score_recoverability_increment_not_significance
mpnet,9,0.1981190564791204,0.1709703106259985,0.1874652706472329,0.0236402640908591,0.1891737379221307,0.001708467274897818,0.027012448796527005,-0.023039570049648905,0.002861738566907912,0.001708467274897818,descriptive_score_recoverability_increment_not_significance
mpnet,10,-32.04588794157881,-0.0996193434754737,-0.0291102815602222,0.0233412593684496,-1.026166128072994,-0.9970558465127717,-0.9059161163444046,-0.023756637183727,-0.8205998546260029,-0.9970558465127717,descriptive_score_recoverability_increment_not_significance
tfidf,1,0.2409622124720682,0.2027510302382026,0.7580190058820806,0.2287806513431588,0.7797730679471362,0.02175406206505559,0.008510341713002578,0.018135213299372288,0.023758813911815335,0.02175406206505559,descriptive_score_recoverability_increment_not_significance
tfidf,2,0.2972915159622619,0.2249693157216006,0.7758742105971824,0.2194388955537335,0.785658688143336,0.009784477546153525,0.009153523660584195,0.002255649746183974,0.008871084699798026,0.009784477546153525,descriptive_score_recoverability_increment_not_significance
